17:21:16 | INFO     | Conectando a Binance...
17:21:16 | INFO     | Conexion Binance establecida.
17:21:17 | INFO     | Conectando a Binance...
17:21:17 | INFO     | Conexion Binance establecida.
17:21:22 | WARNING  | Gemini HTTP 404
17:21:28 | INFO     | Conectando a Binance...
17:21:28 | INFO     | Conexion Binance establecida.
17:21:29 | INFO     | Conectando a Binance...
17:21:29 | INFO     | Conexion Binance establecida.
17:21:40 | INFO     | Conectando a Binance...
17:21:40 | INFO     | Conexion Binance establecida.
17:21:41 | INFO     | Conectando a Binance...
17:21:41 | INFO     | Conexion Binance establecida.
17:26:01 | INFO     | Conectando a Binance...
17:26:02 | INFO     | Conexion Binance establecida.
17:26:02 | INFO     | Bot iniciado - Par: BTCUSDT | DRY_RUN: True
17:26:02 | INFO     | Motor de senales: Google Gemini (consulta cada 60s)
17:26:02 | INFO     | Confianza minima para operar: 65%
17:26:03 | INFO     | WebSocket activo para BTCUSDT
17:26:29 | INFO     | Conectando a Binance...
17:26:29 | INFO     | Conexion Binance establecida.
17:26:30 | INFO     | Conectando a Binance...
17:26:30 | INFO     | Conexion Binance establecida.
17:26:36 | ERROR    | Ningún modelo de Gemini respondió correctamente. Verifica tu API Key en https://aistudio.google.com/app/apikey
17:26:41 | INFO     | Conectando a Binance...
17:26:41 | INFO     | Conexion Binance establecida.
17:26:42 | INFO     | Conectando a Binance...
17:26:42 | INFO     | Conexion Binance establecida.
17:26:53 | INFO     | Conectando a Binance...
17:26:54 | INFO     | Conexion Binance establecida.
17:26:54 | INFO     | Conectando a Binance...
17:26:54 | INFO     | Conexion Binance establecida.
17:27:05 | INFO     | Conectando a Binance...
17:27:06 | INFO     | Conexion Binance establecida.
17:27:06 | INFO     | Conectando a Binance...
17:27:07 | INFO     | Conexion Binance establecida.
17:27:17 | INFO     | Conectando a Binance...
17:27:18 | INFO     | Conexion Binance establecida.
17:27:18 | INFO     | Conectando a Binance...
17:27:18 | INFO     | Conexion Binance establecida.
17:27:29 | INFO     | Conectando a Binance...
17:27:30 | INFO     | Conexion Binance establecida.
17:27:30 | INFO     | Conectando a Binance...
17:27:30 | INFO     | Conexion Binance establecida.
17:27:37 | ERROR    | Ningún modelo de Gemini respondió correctamente. Verifica tu API Key en https://aistudio.google.com/app/apikey
17:27:41 | INFO     | Conectando a Binance...
17:27:42 | INFO     | Conexion Binance establecida.
17:27:42 | INFO     | Conectando a Binance...
17:27:42 | INFO     | Conexion Binance establecida.
17:27:53 | INFO     | Conectando a Binance...
17:27:54 | INFO     | Conexion Binance establecida.
17:27:54 | INFO     | Conectando a Binance...
17:27:54 | INFO     | Conexion Binance establecida.
17:28:05 | INFO     | Conectando a Binance...
